date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:28	122/122	---MCZ	200	added ('OK')	text/plain	etag:W/%225ee172ff-73%22	https://yogamayanewyork.com/robots.txt		(from )
18:44:29	59437/59437	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2013:15:18%20GMT	https://yogamayanewyork.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web30/Site30/yogamayanewyork.com/index.html	(from )
18:44:30	3377/3377	---M--	200	added ('OK')	image/png	etag:%225d33565b-d31%22	https://yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-57x57.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web30/Site30/yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-57x57.png	(from https://yogamayanewyork.com/)
18:44:31	3634/3634	---M--	200	added ('OK')	image/png	etag:%225d33565b-e32%22	https://yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-60x60.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web30/Site30/yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-60x60.png	(from https://yogamayanewyork.com/)
18:44:31	4201/4201	---M--	200	added ('OK')	image/png	etag:%225d33565b-1069%22	https://yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-72x72.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web30/Site30/yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-72x72.png	(from https://yogamayanewyork.com/)
18:44:32	4395/4395	---M--	200	added ('OK')	image/png	etag:%225d33565b-112b%22	https://yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-76x76.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web30/Site30/yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-76x76.png	(from https://yogamayanewyork.com/)
18:44:33	6589/6589	---M--	200	added ('OK')	image/png	etag:%225d33565b-19bd%22	https://yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-114x114.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web30/Site30/yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-114x114.png	(from https://yogamayanewyork.com/)
18:44:34	7037/7037	---M--	200	added ('OK')	image/png	etag:%225d33565b-1b7d%22	https://yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-120x120.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web30/Site30/yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-120x120.png	(from https://yogamayanewyork.com/)
18:44:34	9059/9059	---M--	200	added ('OK')	image/png	etag:%225d33565b-2363%22	https://yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-144x144.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web30/Site30/yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-144x144.png	(from https://yogamayanewyork.com/)
18:44:34	9872/9872	---M--	200	added ('OK')	image/png	etag:%225d33565b-2690%22	https://yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-152x152.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web30/Site30/yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-152x152.png	(from https://yogamayanewyork.com/)
18:44:35	13086/13086	---M--	200	added ('OK')	image/png	etag:%225d33565b-331e%22	https://yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-180x180.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web30/Site30/yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/apple-icon-180x180.png	(from https://yogamayanewyork.com/)
18:44:35	1831/1831	---M--	200	added ('OK')	image/png	etag:%225d33565b-727%22	https://yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/favicon-32x32.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web30/Site30/yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/favicon-32x32.png	(from https://yogamayanewyork.com/)
18:44:36	12933/12933	---M--	200	added ('OK')	image/png	etag:%225d33565a-3285%22	https://yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/android-icon-192x192.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web30/Site30/yogamayanewyork.com/wp-content/themes/yogamaya/library/icons/android-icon-192x192.png	(from https://yogamayanewyork.com/)
